Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27994;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\5eme etage\504;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27995;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\5eme etage\504;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27996;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\5eme etage\504;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27997;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27998;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27999;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28000;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28001;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28002;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\6eme etage\617;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28003;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\4eme etage\415;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28004;;"Tabouret haut
Dossier et assise coque plastique
moulé NOIRE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\6eme etage\617;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28005;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\216;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28006;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\221;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28007;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\219/220;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28008;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\216;
